fixDuration,resp.keys,resp.corr,resp.rt,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,pracLoop.ran,cue,tar,corrAns,targOrientation,participant,session,date,expName,psychopyVersion,OS,frameRate,instResp.keys,instResp.rt,mainLoop.thisRepN,mainLoop.thisTrialN,mainLoop.thisN,mainLoop.thisIndex,mainLoop.ran
1.25,left,1,0.7188,0,0,0,16,1,stim/upper.png,stim/incongLeft.png,left,0,001,001,2022-02-28_15h39.01.512,ANT,2021.2.3,Win32,60.04202942,,,,,,,
1.2,left,1,0.4597,0,1,1,3,1,stim/blank.png,stim/congLeft.png,left,0,001,001,2022-02-28_15h39.01.512,ANT,2021.2.3,Win32,60.04202942,,,,,,,
0.8,right,1,0.521,0,2,2,4,1,stim/lower.png,stim/congLeft.png,right,180,001,001,2022-02-28_15h39.01.512,ANT,2021.2.3,Win32,60.04202942,,,,,,,
0.8,right,1,0.7013,0,3,3,22,1,stim/centre.png,stim/incongLeft.png,right,180,001,001,2022-02-28_15h39.01.512,ANT,2021.2.3,Win32,60.04202942,,,,,,,
0.4,right,1,0.4713,0,4,4,10,1,stim/centre.png,stim/congRight.png,right,0,001,001,2022-02-28_15h39.01.512,ANT,2021.2.3,Win32,60.04202942,,,,,,,
1.15,left,1,0.3737,0,5,5,12,1,stim/lower.png,stim/congRight.png,left,180,001,001,2022-02-28_15h39.01.512,ANT,2021.2.3,Win32,60.04202942,,,,,,,
1,right,1,0.552,0,6,6,21,1,stim/both.png,stim/incongLeft.png,right,180,001,001,2022-02-28_15h39.01.512,ANT,2021.2.3,Win32,60.04202942,,,,,,,
1.55,left,1,0.5024,0,7,7,13,1,stim/both.png,stim/congRight.png,left,180,001,001,2022-02-28_15h39.01.512,ANT,2021.2.3,Win32,60.04202942,,,,,,,
0.55,right,1,0.5525,0,8,8,23,1,stim/blank.png,stim/incongLeft.png,right,180,001,001,2022-02-28_15h39.01.512,ANT,2021.2.3,Win32,60.04202942,,,,,,,
0.95,right,1,0.4746,0,9,9,7,1,stim/blank.png,stim/congLeft.png,right,180,001,001,2022-02-28_15h39.01.512,ANT,2021.2.3,Win32,60.04202942,,,,,,,
1.5,right,1,0.4686,0,10,10,8,1,stim/upper.png,stim/congRight.png,right,0,001,001,2022-02-28_15h39.01.512,ANT,2021.2.3,Win32,60.04202942,,,,,,,
1.1,left,1,0.5242,0,11,11,19,1,stim/blank.png,stim/incongLeft.png,left,0,001,001,2022-02-28_15h39.01.512,ANT,2021.2.3,Win32,60.04202942,,,,,,,
1.55,left,1,0.3686,0,12,12,0,1,stim/upper.png,stim/congLeft.png,left,0,001,001,2022-02-28_15h39.01.512,ANT,2021.2.3,Win32,60.04202942,,,,,,,
0.9,right,1,0.4019,0,13,13,9,1,stim/both.png,stim/congRight.png,right,0,001,001,2022-02-28_15h39.01.512,ANT,2021.2.3,Win32,60.04202942,,,,,,,
1.1,right,1,0.5599,0,14,14,11,1,stim/blank.png,stim/congRight.png,right,0,001,001,2022-02-28_15h39.01.512,ANT,2021.2.3,Win32,60.04202942,,,,,,,
0.4,left,1,0.387,0,15,15,15,1,stim/blank.png,stim/congRight.png,left,180,001,001,2022-02-28_15h39.01.512,ANT,2021.2.3,Win32,60.04202942,,,,,,,
1.15,left,1,0.405,0,16,16,2,1,stim/centre.png,stim/congLeft.png,left,0,001,001,2022-02-28_15h39.01.512,ANT,2021.2.3,Win32,60.04202942,,,,,,,
0.7,right,1,0.4185,0,17,17,5,1,stim/both.png,stim/congLeft.png,right,180,001,001,2022-02-28_15h39.01.512,ANT,2021.2.3,Win32,60.04202942,,,,,,,
1.4,right,0,0.4523,0,18,18,18,1,stim/centre.png,stim/incongLeft.png,left,0,001,001,2022-02-28_15h39.01.512,ANT,2021.2.3,Win32,60.04202942,,,,,,,
1.15,right,1,0.4394,0,19,19,6,1,stim/centre.png,stim/congLeft.png,right,180,001,001,2022-02-28_15h39.01.512,ANT,2021.2.3,Win32,60.04202942,,,,,,,
0.4,left,1,0.4018,0,20,20,14,1,stim/centre.png,stim/congRight.png,left,180,001,001,2022-02-28_15h39.01.512,ANT,2021.2.3,Win32,60.04202942,,,,,,,
0.95,right,0,0.4232,0,21,21,17,1,stim/both.png,stim/incongLeft.png,left,0,001,001,2022-02-28_15h39.01.512,ANT,2021.2.3,Win32,60.04202942,,,,,,,
1.45,left,1,0.3722,0,22,22,1,1,stim/both.png,stim/congLeft.png,left,0,001,001,2022-02-28_15h39.01.512,ANT,2021.2.3,Win32,60.04202942,,,,,,,
0.4,right,1,0.6022,0,23,23,20,1,stim/lower.png,stim/incongLeft.png,right,180,001,001,2022-02-28_15h39.01.512,ANT,2021.2.3,Win32,60.04202942,,,,,,,
0.8,left,1,0.5691,,,,,,stim/centre.png,stim/incongRight.png,left,180,001,001,2022-02-28_15h39.01.512,ANT,2021.2.3,Win32,60.04202942,space,4.1616,0,0,0,30,1
1.1,left,1,0.5263,,,,,,stim/centre.png,stim/incongLeft.png,left,0,001,001,2022-02-28_15h39.01.512,ANT,2021.2.3,Win32,60.04202942,,,0,1,1,18,1
0.85,left,1,0.3688,,,,,,stim/lower.png,stim/congRight.png,left,180,001,001,2022-02-28_15h39.01.512,ANT,2021.2.3,Win32,60.04202942,,,0,2,2,12,1
0.65,right,1,0.6186,,,,,,stim/blank.png,stim/neutralLeft.png,right,180,001,001,2022-02-28_15h39.01.512,ANT,2021.2.3,Win32,60.04202942,,,0,3,3,39,1
1.25,left,1,0.4692,,,,,,stim/blank.png,stim/neutralRight.png,left,180,001,001,2022-02-28_15h39.01.512,ANT,2021.2.3,Win32,60.04202942,,,0,4,4,47,1
1,right,1,0.4912,,,,,,stim/both.png,stim/neutralRight.png,right,0,001,001,2022-02-28_15h39.01.512,ANT,2021.2.3,Win32,60.04202942,,,0,5,5,41,1
0.9,left,1,0.4046,,,,,,stim/both.png,stim/congRight.png,left,180,001,001,2022-02-28_15h39.01.512,ANT,2021.2.3,Win32,60.04202942,,,0,6,6,13,1
1.1,left,0,0.4019,,,,,,stim/upper.png,stim/incongRight.png,right,0,001,001,2022-02-28_15h39.01.512,ANT,2021.2.3,Win32,60.04202942,,,0,7,7,24,1
1.4,right,1,0.4514,,,,,,stim/both.png,stim/congLeft.png,right,180,001,001,2022-02-28_15h39.01.512,ANT,2021.2.3,Win32,60.04202942,,,0,8,8,5,1
0.5,right,1,0.5719,,,,,,stim/centre.png,stim/neutralRight.png,right,0,001,001,2022-02-28_15h39.01.512,ANT,2021.2.3,Win32,60.04202942,,,0,9,9,42,1
1.4,right,1,0.3734,,,,,,stim/centre.png,stim/congRight.png,right,0,001,001,2022-02-28_15h39.01.512,ANT,2021.2.3,Win32,60.04202942,,,0,10,10,10,1
0.6,right,1,0.504,,,,,,stim/both.png,stim/neutralLeft.png,right,180,001,001,2022-02-28_15h39.01.512,ANT,2021.2.3,Win32,60.04202942,,,0,11,11,37,1
0.4,left,0,0.4017,,,,,,stim/both.png,stim/incongLeft.png,right,180,001,001,2022-02-28_15h39.01.512,ANT,2021.2.3,Win32,60.04202942,,,0,12,12,21,1
1.25,left,1,0.5352,,,,,,stim/blank.png,stim/incongRight.png,left,180,001,001,2022-02-28_15h39.01.512,ANT,2021.2.3,Win32,60.04202942,,,0,13,13,31,1
0.95,left,0,0.3695,,,,,,stim/centre.png,stim/incongLeft.png,right,180,001,001,2022-02-28_15h39.01.512,ANT,2021.2.3,Win32,60.04202942,,,0,14,14,22,1
0.95,,0,,,,,,,stim/blank.png,stim/neutralLeft.png,left,0,001,001,2022-02-28_15h39.01.512,ANT,2021.2.3,Win32,60.04202942,,,0,15,15,35,1
0.5,,0,,,,,,,stim/centre.png,stim/neutralLeft.png,right,180,001,001,2022-02-28_15h39.01.512,ANT,2021.2.3,Win32,60.04202942,,,0,16,16,38,1
0.85,,0,,,,,,,stim/blank.png,stim/incongLeft.png,right,180,001,001,2022-02-28_15h39.01.512,ANT,2021.2.3,Win32,60.04202942,,,0,17,17,23,1
1.3,,0,,,,,,,stim/both.png,stim/neutralLeft.png,left,0,001,001,2022-02-28_15h39.01.512,ANT,2021.2.3,Win32,60.04202942,,,0,18,18,33,1
0.5,,0,,,,,,,stim/lower.png,stim/incongRight.png,left,180,001,001,2022-02-28_15h39.01.512,ANT,2021.2.3,Win32,60.04202942,,,0,19,19,28,1
0.55,,0,,,,,,,stim/upper.png,stim/neutralRight.png,right,0,001,001,2022-02-28_15h39.01.512,ANT,2021.2.3,Win32,60.04202942,,,0,20,20,40,1
0.9,,0,,,,,,,stim/both.png,stim/neutralRight.png,left,180,001,001,2022-02-28_15h39.01.512,ANT,2021.2.3,Win32,60.04202942,,,0,21,21,45,1
1.55,,0,,,,,,,stim/lower.png,stim/neutralRight.png,left,180,001,001,2022-02-28_15h39.01.512,ANT,2021.2.3,Win32,60.04202942,,,0,22,22,44,1
