fixDuration,resp.keys,resp.corr,resp.rt,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,pracLoop.ran,cue,tar,corrAns,targOrientation,participant,session,date,expName,psychopyVersion,OS,frameRate,instResp.keys,instResp.rt,mainLoop.thisRepN,mainLoop.thisTrialN,mainLoop.thisN,mainLoop.thisIndex,mainLoop.ran
1.4,left,0,1.3304,0,0,0,21,1,stim/both.png,stim/incongLeft.png,right,180,Marta,001,2022-05-06_13h17.34.027,ANT,2021.2.3,Win32,60.10337781,,,,,,,
1.55,left,1,0.93,0,1,1,3,1,stim/blank.png,stim/congLeft.png,left,0,Marta,001,2022-05-06_13h17.34.027,ANT,2021.2.3,Win32,60.10337781,,,,,,,
0.4,right,1,0.6179,0,2,2,4,1,stim/lower.png,stim/congLeft.png,right,180,Marta,001,2022-05-06_13h17.34.027,ANT,2021.2.3,Win32,60.10337781,,,,,,,
0.4,left,1,0.3723,0,3,3,0,1,stim/upper.png,stim/congLeft.png,left,0,Marta,001,2022-05-06_13h17.34.027,ANT,2021.2.3,Win32,60.10337781,,,,,,,
1.3,left,1,0.4882,0,4,4,2,1,stim/centre.png,stim/congLeft.png,left,0,Marta,001,2022-05-06_13h17.34.027,ANT,2021.2.3,Win32,60.10337781,,,,,,,
0.75,left,1,0.4846,0,5,5,12,1,stim/lower.png,stim/congRight.png,left,180,Marta,001,2022-05-06_13h17.34.027,ANT,2021.2.3,Win32,60.10337781,,,,,,,
0.8,left,0,0.3919,0,6,6,22,1,stim/centre.png,stim/incongLeft.png,right,180,Marta,001,2022-05-06_13h17.34.027,ANT,2021.2.3,Win32,60.10337781,,,,,,,
1.3,right,1,0.5566,0,7,7,5,1,stim/both.png,stim/congLeft.png,right,180,Marta,001,2022-05-06_13h17.34.027,ANT,2021.2.3,Win32,60.10337781,,,,,,,
1.45,right,1,0.5561,0,8,8,10,1,stim/centre.png,stim/congRight.png,right,0,Marta,001,2022-05-06_13h17.34.027,ANT,2021.2.3,Win32,60.10337781,,,,,,,
1.2,left,1,0.3931,0,9,9,15,1,stim/blank.png,stim/congRight.png,left,180,Marta,001,2022-05-06_13h17.34.027,ANT,2021.2.3,Win32,60.10337781,,,,,,,
0.5,left,1,0.4373,0,10,10,1,1,stim/both.png,stim/congLeft.png,left,0,Marta,001,2022-05-06_13h17.34.027,ANT,2021.2.3,Win32,60.10337781,,,,,,,
0.6,left,0,0.3857,0,11,11,20,1,stim/lower.png,stim/incongLeft.png,right,180,Marta,001,2022-05-06_13h17.34.027,ANT,2021.2.3,Win32,60.10337781,,,,,,,
0.5,right,1,0.7484,0,12,12,23,1,stim/blank.png,stim/incongLeft.png,right,180,Marta,001,2022-05-06_13h17.34.027,ANT,2021.2.3,Win32,60.10337781,,,,,,,
