keyResp.keys,keyResp.corr,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,correctMouseResp,trialRespTimes,moveOnKeys.keys,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
,0,-0.374074067,-0.019907464,1,0,0,5.666,cross_button,0,4.366,,0,0,0,8,1,1.3,images/target_square.jpg,Ok,00o,2022-04-06_22h53.46,choiceRTT,2021.2.3,Linux armv8l,59.55926147,,,,,,,,,,,
,0,0.390740797,0.0125,1,0,0,3.3734,cross_button,1,1.8734,,0,1,1,6,1,1.5,images/target_cross.jpg,Ok,00o,2022-04-06_22h53.46,choiceRTT,2021.2.3,Linux armv8l,59.55926147,,,,,,,,,,,
,0,0.276851908,-0.248611111,1,0,0,1.6042,plus_button,1,0.3042,,0,2,2,1,1,1.3,images/target_plus.jpg,Ok,00o,2022-04-06_22h53.46,choiceRTT,2021.2.3,Linux armv8l,59.55926147,,,,,,,,,,,
,0,0.289814843,-0.227314843,1,0,0,6.5599,plus_button,1,5.4599,,0,3,3,7,1,1.1,images/target_plus.jpg,Ok,00o,2022-04-06_22h53.46,choiceRTT,2021.2.3,Linux armv8l,59.55926147,,,,,,,,,,,
,0,0.469444444,0.153240712,1,0,0,20.3338,square_button,1,18.8338,,0,4,4,2,1,1.5,images/target_square.jpg,Ok,00o,2022-04-06_22h53.46,choiceRTT,2021.2.3,Linux armv8l,59.55926147,,,,,,,,,,,
,0,-0.246296289,-0.246759288,1,0,0,4.3354,cross_button,1,3.2354,,0,5,5,0,1,1.1,images/target_cross.jpg,Ok,00o,2022-04-06_22h53.46,choiceRTT,2021.2.3,Linux armv8l,59.55926147,,,,,,,,,,,
,0,0.262037065,-0.235648176,1,0,0,8.1205,plus_button,0,7.0205,,0,6,6,5,1,1.1,images/target_square.jpg,Ok,00o,2022-04-06_22h53.46,choiceRTT,2021.2.3,Linux armv8l,59.55926147,,,,,,,,,,,
,0,0.275925954,-0.246759288,1,0,0,4.5939,plus_button,1,3.0939,,0,7,7,4,1,1.5,images/target_plus.jpg,Ok,00o,2022-04-06_22h53.46,choiceRTT,2021.2.3,Linux armv8l,59.55926147,,,,,,,,,,,
,0,-0.247222222,-0.267129686,1,0,0,3.7428,cross_button,1,2.4428,,0,8,8,3,1,1.3,images/target_cross.jpg,Ok,00o,2022-04-06_22h53.46,choiceRTT,2021.2.3,Linux armv8l,59.55926147,,,,,,,,,,,
,0,-0.250925912,-0.256944444,1,0,0,3.6304,cross_button,1,2.5304,,,,,,,1.1,images/target_cross.jpg,Ok,00o,2022-04-06_22h53.46,choiceRTT,2021.2.3,Linux armv8l,59.55926147,,0.078703732,-0.218055556,1,0,0,0,0,0,0,1
