response.keys,response.corr,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.clicked_name,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,practiceTrials.ran,practiceTrials.order,isi,xPos,corrAns,participant,session,date,expName,psychopyVersion,frameRate,mainTrials.thisRepN,mainTrials.thisTrialN,mainTrials.thisN,mainTrials.thisIndex,mainTrials.ran,mainTrials.order
,0,-0.313619792,-0.005429687,1,0,0,targImage,1,0,8,0,1,7,1,-0.375,c,jh,001,2022-01-13_16h05.43.609,choiceRTT,3.1.3,60,,,,,,
,0,-0.108467882,-0.010338542,1,0,0,targImage,1,0,8,5,1,7,1,-0.125,v,jh,001,2022-01-13_16h05.43.609,choiceRTT,3.1.3,60,,,,,,
,0,0.392473958,0.00625,1,0,0,targImage,1,0,8,3,1,7,1,0.375,n,jh,001,2022-01-13_16h05.43.609,choiceRTT,3.1.3,60,,,,,,
,0,0.435,0.007122396,1,0,0,targImage,1,0,8,7,1,7,1,0.375,n,jh,001,2022-01-13_16h05.43.609,choiceRTT,3.1.3,60,,,,,,
,0,0.156210938,0.011657986,1,0,0,targImage,1,0,8,2,1,7,1,0.125,b,jh,001,2022-01-13_16h05.43.609,choiceRTT,3.1.3,60,,,,,,
,0,-0.093072917,0.014422743,1,0,0,targImage,1,0,8,1,1,7,1,-0.125,v,jh,001,2022-01-13_16h05.43.609,choiceRTT,3.1.3,60,,,,,,
,0,-0.44077691,0.012044271,1,0,0,targImage,1,0,8,4,1,7,1,-0.375,c,jh,001,2022-01-13_16h05.43.609,choiceRTT,3.1.3,60,,,,,,
,0,0.049674479,0.000664063,1,0,0,targImage,1,0,8,6,1,7,1,0.125,b,jh,001,2022-01-13_16h05.43.609,choiceRTT,3.1.3,60,,,,,,
,0,-0.081584201,-0.022621528,1,0,0,targImage,,,,,,,2.9998,-0.125,v,jh,001,2022-01-13_16h05.43.609,choiceRTT,3.1.3,60,1,0,40,37,1,39
,0,0.318229167,0.001497396,1,0,0,targImage,,,,,,,2.111,0.375,n,jh,001,2022-01-13_16h05.43.609,choiceRTT,3.1.3,60,1,0,40,23,1,39
