fixDuration,resp.keys,resp.corr,resp.rt,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,pracLoop.ran,cue,tar,corrAns,targOrientation,participant,session,date,expName,psychopyVersion,OS,frameRate,instResp.keys,instResp.rt,mainLoop.thisRepN,mainLoop.thisTrialN,mainLoop.thisN,mainLoop.thisIndex,mainLoop.ran
0.55,left,1,0.486,0,0,0,13,1,stim/both.png,stim/congRight.png,left,180,Paolo ,001,2022-03-30_13h49.37.853,ANT,2021.2.3,Win32,59.60185958,,,,,,,
1.4,right,0,0.4222,0,1,1,18,1,stim/centre.png,stim/incongLeft.png,left,0,Paolo ,001,2022-03-30_13h49.37.853,ANT,2021.2.3,Win32,59.60185958,,,,,,,
1.5,left,0,1.0358,0,2,2,22,1,stim/centre.png,stim/incongLeft.png,right,180,Paolo ,001,2022-03-30_13h49.37.853,ANT,2021.2.3,Win32,59.60185958,,,,,,,
1.2,left,1,0.7089,0,3,3,0,1,stim/upper.png,stim/congLeft.png,left,0,Paolo ,001,2022-03-30_13h49.37.853,ANT,2021.2.3,Win32,59.60185958,,,,,,,
0.75,right,1,0.542,0,4,4,11,1,stim/blank.png,stim/congRight.png,right,0,Paolo ,001,2022-03-30_13h49.37.853,ANT,2021.2.3,Win32,59.60185958,,,,,,,
0.95,right,1,0.5088,0,5,5,4,1,stim/lower.png,stim/congLeft.png,right,180,Paolo ,001,2022-03-30_13h49.37.853,ANT,2021.2.3,Win32,59.60185958,,,,,,,
1.3,right,1,0.5442,0,6,6,9,1,stim/both.png,stim/congRight.png,right,0,Paolo ,001,2022-03-30_13h49.37.853,ANT,2021.2.3,Win32,59.60185958,,,,,,,
0.4,left,1,0.4049,0,7,7,2,1,stim/centre.png,stim/congLeft.png,left,0,Paolo ,001,2022-03-30_13h49.37.853,ANT,2021.2.3,Win32,59.60185958,,,,,,,
0.75,left,1,0.4502,0,8,8,15,1,stim/blank.png,stim/congRight.png,left,180,Paolo ,001,2022-03-30_13h49.37.853,ANT,2021.2.3,Win32,59.60185958,,,,,,,
1.1,right,1,0.2704,0,9,9,8,1,stim/upper.png,stim/congRight.png,right,0,Paolo ,001,2022-03-30_13h49.37.853,ANT,2021.2.3,Win32,59.60185958,,,,,,,
1.2,right,1,0.3907,0,10,10,6,1,stim/centre.png,stim/congLeft.png,right,180,Paolo ,001,2022-03-30_13h49.37.853,ANT,2021.2.3,Win32,59.60185958,,,,,,,
1.2,right,1,0.4375,0,11,11,5,1,stim/both.png,stim/congLeft.png,right,180,Paolo ,001,2022-03-30_13h49.37.853,ANT,2021.2.3,Win32,59.60185958,,,,,,,
0.55,left,1,0.3333,0,12,12,3,1,stim/blank.png,stim/congLeft.png,left,0,Paolo ,001,2022-03-30_13h49.37.853,ANT,2021.2.3,Win32,59.60185958,,,,,,,
0.65,right,0,0.3048,0,13,13,17,1,stim/both.png,stim/incongLeft.png,left,0,Paolo ,001,2022-03-30_13h49.37.853,ANT,2021.2.3,Win32,59.60185958,,,,,,,
0.8,left,0,0.9669,0,14,14,23,1,stim/blank.png,stim/incongLeft.png,right,180,Paolo ,001,2022-03-30_13h49.37.853,ANT,2021.2.3,Win32,59.60185958,,,,,,,
0.75,right,1,0.6801,0,15,15,20,1,stim/lower.png,stim/incongLeft.png,right,180,Paolo ,001,2022-03-30_13h49.37.853,ANT,2021.2.3,Win32,59.60185958,,,,,,,
1.05,left,1,0.5708,0,16,16,14,1,stim/centre.png,stim/congRight.png,left,180,Paolo ,001,2022-03-30_13h49.37.853,ANT,2021.2.3,Win32,59.60185958,,,,,,,
0.6,left,1,0.4866,0,17,17,1,1,stim/both.png,stim/congLeft.png,left,0,Paolo ,001,2022-03-30_13h49.37.853,ANT,2021.2.3,Win32,59.60185958,,,,,,,
1.1,right,1,0.5302,0,18,18,10,1,stim/centre.png,stim/congRight.png,right,0,Paolo ,001,2022-03-30_13h49.37.853,ANT,2021.2.3,Win32,59.60185958,,,,,,,
0.95,left,0,0.3857,0,19,19,21,1,stim/both.png,stim/incongLeft.png,right,180,Paolo ,001,2022-03-30_13h49.37.853,ANT,2021.2.3,Win32,59.60185958,,,,,,,
0.4,left,1,0.9268,0,20,20,19,1,stim/blank.png,stim/incongLeft.png,left,0,Paolo ,001,2022-03-30_13h49.37.853,ANT,2021.2.3,Win32,59.60185958,,,,,,,
0.65,right,1,0.5476,0,21,21,7,1,stim/blank.png,stim/congLeft.png,right,180,Paolo ,001,2022-03-30_13h49.37.853,ANT,2021.2.3,Win32,59.60185958,,,,,,,
0.85,left,1,0.4526,0,22,22,12,1,stim/lower.png,stim/congRight.png,left,180,Paolo ,001,2022-03-30_13h49.37.853,ANT,2021.2.3,Win32,59.60185958,,,,,,,
0.65,left,1,0.7561,0,23,23,16,1,stim/upper.png,stim/incongLeft.png,left,0,Paolo ,001,2022-03-30_13h49.37.853,ANT,2021.2.3,Win32,59.60185958,,,,,,,
0.6,right,1,0.5667,,,,,,stim/upper.png,stim/neutralRight.png,right,0,Paolo ,001,2022-03-30_13h49.37.853,ANT,2021.2.3,Win32,59.60185958,space,14.7942,0,0,0,40,1
0.4,left,1,0.6767,,,,,,stim/blank.png,stim/incongLeft.png,left,0,Paolo ,001,2022-03-30_13h49.37.853,ANT,2021.2.3,Win32,59.60185958,,,0,1,1,19,1
1.3,right,1,0.72,,,,,,stim/both.png,stim/incongLeft.png,right,180,Paolo ,001,2022-03-30_13h49.37.853,ANT,2021.2.3,Win32,59.60185958,,,0,2,2,21,1
1.55,left,1,0.632,,,,,,stim/centre.png,stim/incongRight.png,left,180,Paolo ,001,2022-03-30_13h49.37.853,ANT,2021.2.3,Win32,59.60185958,,,0,3,3,30,1
1,left,1,0.5221,,,,,,stim/both.png,stim/congLeft.png,left,0,Paolo ,001,2022-03-30_13h49.37.853,ANT,2021.2.3,Win32,59.60185958,,,0,4,4,1,1
1.15,left,1,0.4373,,,,,,stim/upper.png,stim/congLeft.png,left,0,Paolo ,001,2022-03-30_13h49.37.853,ANT,2021.2.3,Win32,59.60185958,,,0,5,5,0,1
0.65,right,1,0.4325,,,,,,stim/upper.png,stim/congRight.png,right,0,Paolo ,001,2022-03-30_13h49.37.853,ANT,2021.2.3,Win32,59.60185958,,,0,6,6,8,1
0.95,right,1,0.7091,,,,,,stim/both.png,stim/incongRight.png,right,0,Paolo ,001,2022-03-30_13h49.37.853,ANT,2021.2.3,Win32,59.60185958,,,0,7,7,25,1
1.1,left,1,0.744,,,,,,stim/blank.png,stim/congRight.png,left,180,Paolo ,001,2022-03-30_13h49.37.853,ANT,2021.2.3,Win32,59.60185958,,,0,8,8,15,1
1.1,left,1,0.5938,,,,,,stim/both.png,stim/neutralRight.png,left,180,Paolo ,001,2022-03-30_13h49.37.853,ANT,2021.2.3,Win32,59.60185958,,,0,9,9,45,1
0.6,right,1,0.5564,,,,,,stim/blank.png,stim/incongLeft.png,right,180,Paolo ,001,2022-03-30_13h49.37.853,ANT,2021.2.3,Win32,59.60185958,,,0,10,10,23,1
1.55,right,1,0.5669,,,,,,stim/centre.png,stim/incongLeft.png,right,180,Paolo ,001,2022-03-30_13h49.37.853,ANT,2021.2.3,Win32,59.60185958,,,0,11,11,22,1
1.55,left,1,0.4169,,,,,,stim/centre.png,stim/neutralRight.png,left,180,Paolo ,001,2022-03-30_13h49.37.853,ANT,2021.2.3,Win32,59.60185958,,,0,12,12,46,1
1.05,right,1,0.4647,,,,,,stim/centre.png,stim/neutralRight.png,right,0,Paolo ,001,2022-03-30_13h49.37.853,ANT,2021.2.3,Win32,59.60185958,,,0,13,13,42,1
0.7,left,1,0.6053,,,,,,stim/blank.png,stim/neutralLeft.png,left,0,Paolo ,001,2022-03-30_13h49.37.853,ANT,2021.2.3,Win32,59.60185958,,,0,14,14,35,1
1.45,left,1,0.4381,,,,,,stim/both.png,stim/congRight.png,left,180,Paolo ,001,2022-03-30_13h49.37.853,ANT,2021.2.3,Win32,59.60185958,,,0,15,15,13,1
0.7,left,1,0.4825,,,,,,stim/centre.png,stim/congLeft.png,left,0,Paolo ,001,2022-03-30_13h49.37.853,ANT,2021.2.3,Win32,59.60185958,,,0,16,16,2,1
1.4,right,1,0.4986,,,,,,stim/both.png,stim/neutralLeft.png,right,180,Paolo ,001,2022-03-30_13h49.37.853,ANT,2021.2.3,Win32,59.60185958,,,0,17,17,37,1
1.45,right,0,0.3825,,,,,,stim/blank.png,stim/incongRight.png,left,180,Paolo ,001,2022-03-30_13h49.37.853,ANT,2021.2.3,Win32,59.60185958,,,0,18,18,31,1
0.4,left,1,0.4752,,,,,,stim/upper.png,stim/neutralLeft.png,left,0,Paolo ,001,2022-03-30_13h49.37.853,ANT,2021.2.3,Win32,59.60185958,,,0,19,19,32,1
1.05,left,1,0.5468,,,,,,stim/upper.png,stim/incongLeft.png,left,0,Paolo ,001,2022-03-30_13h49.37.853,ANT,2021.2.3,Win32,59.60185958,,,0,20,20,16,1
0.75,left,1,0.5441,,,,,,stim/lower.png,stim/neutralRight.png,left,180,Paolo ,001,2022-03-30_13h49.37.853,ANT,2021.2.3,Win32,59.60185958,,,0,21,21,44,1
1.4,left,1,0.5006,,,,,,stim/lower.png,stim/incongRight.png,left,180,Paolo ,001,2022-03-30_13h49.37.853,ANT,2021.2.3,Win32,59.60185958,,,0,22,22,28,1
0.6,left,1,0.5118,,,,,,stim/both.png,stim/incongRight.png,left,180,Paolo ,001,2022-03-30_13h49.37.853,ANT,2021.2.3,Win32,59.60185958,,,0,23,23,29,1
1.35,right,1,0.4143,,,,,,stim/blank.png,stim/congLeft.png,right,180,Paolo ,001,2022-03-30_13h49.37.853,ANT,2021.2.3,Win32,59.60185958,,,0,24,24,7,1
0.85,left,0,0.5583,,,,,,stim/blank.png,stim/incongRight.png,right,0,Paolo ,001,2022-03-30_13h49.37.853,ANT,2021.2.3,Win32,59.60185958,,,0,25,25,27,1
1.5,,0,,,,,,,stim/centre.png,stim/congRight.png,left,180,Paolo ,001,2022-03-30_13h49.37.853,ANT,2021.2.3,Win32,59.60185958,,,0,26,26,14,1
