fixDuration,resp.keys,resp.corr,resp.rt,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,pracLoop.ran,cue,tar,corrAns,targOrientation,participant,session,date,expName,psychopyVersion,OS,frameRate,instResp.keys,instResp.rt,mainLoop.thisRepN,mainLoop.thisTrialN,mainLoop.thisN,mainLoop.thisIndex,mainLoop.ran
0.6,left,1,1.2059,0,0,0,15,1,stim/blank.png,stim/congRight.png,left,180,a,001,2022-02-26_17h28.32.352,ANT,2021.2.3,Win32,60.34638827,,,,,,,
0.45,right,1,0.402,0,1,1,8,1,stim/upper.png,stim/congRight.png,right,0,a,001,2022-02-26_17h28.32.352,ANT,2021.2.3,Win32,60.34638827,,,,,,,
1.15,right,1,0.7916,0,2,2,21,1,stim/both.png,stim/incongLeft.png,right,180,a,001,2022-02-26_17h28.32.352,ANT,2021.2.3,Win32,60.34638827,,,,,,,
1.05,left,1,0.5427,0,3,3,14,1,stim/centre.png,stim/congRight.png,left,180,a,001,2022-02-26_17h28.32.352,ANT,2021.2.3,Win32,60.34638827,,,,,,,
1.4,left,1,0.484,0,4,4,13,1,stim/both.png,stim/congRight.png,left,180,a,001,2022-02-26_17h28.32.352,ANT,2021.2.3,Win32,60.34638827,,,,,,,
1.4,right,1,0.4095,0,5,5,5,1,stim/both.png,stim/congLeft.png,right,180,a,001,2022-02-26_17h28.32.352,ANT,2021.2.3,Win32,60.34638827,,,,,,,
1.35,left,1,0.3918,0,6,6,1,1,stim/both.png,stim/congLeft.png,left,0,a,001,2022-02-26_17h28.32.352,ANT,2021.2.3,Win32,60.34638827,,,,,,,
1.55,left,0,0.3641,0,7,7,23,1,stim/blank.png,stim/incongLeft.png,right,180,a,001,2022-02-26_17h28.32.352,ANT,2021.2.3,Win32,60.34638827,,,,,,,
1.35,right,0,0.4324,0,8,8,18,1,stim/centre.png,stim/incongLeft.png,left,0,a,001,2022-02-26_17h28.32.352,ANT,2021.2.3,Win32,60.34638827,,,,,,,
0.45,left,1,0.5545,0,9,9,3,1,stim/blank.png,stim/congLeft.png,left,0,a,001,2022-02-26_17h28.32.352,ANT,2021.2.3,Win32,60.34638827,,,,,,,
0.4,right,1,0.4071,0,10,10,6,1,stim/centre.png,stim/congLeft.png,right,180,a,001,2022-02-26_17h28.32.352,ANT,2021.2.3,Win32,60.34638827,,,,,,,
0.8,left,0,0.3576,0,11,11,22,1,stim/centre.png,stim/incongLeft.png,right,180,a,001,2022-02-26_17h28.32.352,ANT,2021.2.3,Win32,60.34638827,,,,,,,
1.4,left,1,0.7003,0,12,12,16,1,stim/upper.png,stim/incongLeft.png,left,0,a,001,2022-02-26_17h28.32.352,ANT,2021.2.3,Win32,60.34638827,,,,,,,
0.8,right,1,0.3978,0,13,13,7,1,stim/blank.png,stim/congLeft.png,right,180,a,001,2022-02-26_17h28.32.352,ANT,2021.2.3,Win32,60.34638827,,,,,,,
0.65,left,1,0.598,0,14,14,19,1,stim/blank.png,stim/incongLeft.png,left,0,a,001,2022-02-26_17h28.32.352,ANT,2021.2.3,Win32,60.34638827,,,,,,,
1.1,right,1,0.5941,0,15,15,11,1,stim/blank.png,stim/congRight.png,right,0,a,001,2022-02-26_17h28.32.352,ANT,2021.2.3,Win32,60.34638827,,,,,,,
1.5,left,1,0.4013,0,16,16,2,1,stim/centre.png,stim/congLeft.png,left,0,a,001,2022-02-26_17h28.32.352,ANT,2021.2.3,Win32,60.34638827,,,,,,,
1.55,left,1,0.3835,0,17,17,12,1,stim/lower.png,stim/congRight.png,left,180,a,001,2022-02-26_17h28.32.352,ANT,2021.2.3,Win32,60.34638827,,,,,,,
1.2,right,1,0.4351,0,18,18,10,1,stim/centre.png,stim/congRight.png,right,0,a,001,2022-02-26_17h28.32.352,ANT,2021.2.3,Win32,60.34638827,,,,,,,
1.5,left,1,0.4481,0,19,19,0,1,stim/upper.png,stim/congLeft.png,left,0,a,001,2022-02-26_17h28.32.352,ANT,2021.2.3,Win32,60.34638827,,,,,,,
0.95,right,1,0.3644,0,20,20,4,1,stim/lower.png,stim/congLeft.png,right,180,a,001,2022-02-26_17h28.32.352,ANT,2021.2.3,Win32,60.34638827,,,,,,,
0.85,left,0,0.4333,0,21,21,20,1,stim/lower.png,stim/incongLeft.png,right,180,a,001,2022-02-26_17h28.32.352,ANT,2021.2.3,Win32,60.34638827,,,,,,,
1.45,left,1,0.6208,0,22,22,17,1,stim/both.png,stim/incongLeft.png,left,0,a,001,2022-02-26_17h28.32.352,ANT,2021.2.3,Win32,60.34638827,,,,,,,
0.7,right,1,0.5529,0,23,23,9,1,stim/both.png,stim/congRight.png,right,0,a,001,2022-02-26_17h28.32.352,ANT,2021.2.3,Win32,60.34638827,,,,,,,
0.9,,0,,,,,,,stim/blank.png,stim/incongLeft.png,right,180,a,001,2022-02-26_17h28.32.352,ANT,2021.2.3,Win32,60.34638827,space,1.976,0,0,0,23,1
1.45,,0,,,,,,,stim/upper.png,stim/neutralLeft.png,left,0,a,001,2022-02-26_17h28.32.352,ANT,2021.2.3,Win32,60.34638827,,,0,1,1,32,1
