response.keys,response.corr,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.clicked_name,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,practiceTrials.ran,practiceTrials.order,isi,xPos,corrAns,participant,session,date,expName,psychopyVersion,frameRate,mainTrials.thisRepN,mainTrials.thisTrialN,mainTrials.thisN,mainTrials.thisIndex,mainTrials.ran,mainTrials.order
,0,0.121296311,-0.057407416,1,0,0,targImage,1,0,8,6,1,7,1,0.125,b,0708,001,2022-01-20_12h46.50.765,choiceRTT,3.1.3,60,,,,,,
,0,-0.361111103,0.040740706,1,0,0,targImage,1,0,8,0,1,7,1,-0.375,c,0708,001,2022-01-20_12h46.50.765,choiceRTT,3.1.3,60,,,,,,
,0,-0.12962963,-0.006481489,1,0,0,targImage,1,0,8,1,1,7,1,-0.125,v,0708,001,2022-01-20_12h46.50.765,choiceRTT,3.1.3,60,,,,,,
,0,0.112037023,0.012962942,1,0,0,targImage,1,0,8,2,1,7,1,0.125,b,0708,001,2022-01-20_12h46.50.765,choiceRTT,3.1.3,60,,,,,,
,0,0.383333418,0.001851859,1,0,0,targImage,1,0,8,3,1,7,1,0.375,n,0708,001,2022-01-20_12h46.50.765,choiceRTT,3.1.3,60,,,,,,
,0,0.375925982,0.01666666,1,0,0,targImage,1,0,8,7,1,7,1,0.375,n,0708,001,2022-01-20_12h46.50.765,choiceRTT,3.1.3,60,,,,,,
,0,-0.354629623,-0.011111118,1,0,0,targImage,1,0,8,4,1,7,1,-0.375,c,0708,001,2022-01-20_12h46.50.765,choiceRTT,3.1.3,60,,,,,,
,0,-0.115740741,0.003703683,1,0,0,targImage,1,0,8,5,1,7,1,-0.125,v,0708,001,2022-01-20_12h46.50.765,choiceRTT,3.1.3,60,,,,,,
,0,-0.110185199,0.020370377,1,0,0,targImage,,,,,,,2.7776,-0.125,v,0708,001,2022-01-20_12h46.50.765,choiceRTT,3.1.3,60,1,0,40,33,1,39
,0,0.163888931,0.02407406,1,0,0,targImage,,,,,,,1.4444,0.125,b,0708,001,2022-01-20_12h46.50.765,choiceRTT,3.1.3,60,1,0,40,10,1,39
