keyResp.keys,keyResp.corr,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,correctMouseResp,trialRespTimes,moveOnKeys.keys,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
,0,-0.234722222,-0.247222222,1,0,0,4.421,cross_button,1,3.121,,0,0,0,3,1,1.3,images/target_cross.jpg,0,001,2022-03-11_11h54.24.532,choiceRTT,2021.2.3,Win32,60.0240096,,,,,,,,,,,
,0,0.013888889,-0.279166667,1,0,0,1.394,square_button,1,0.094,,0,1,1,8,1,1.3,images/target_square.jpg,0,001,2022-03-11_11h54.24.532,choiceRTT,2021.2.3,Win32,60.0240096,,,,,,,,,,,
,0,-0.022222222,-0.245833333,1,0,0,2.798,square_button,1,1.298,,0,2,2,2,1,1.5,images/target_square.jpg,0,001,2022-03-11_11h54.24.532,choiceRTT,2021.2.3,Win32,60.0240096,,,,,,,,,,,
,0,0.259722222,-0.256944444,1,0,0,3.495,plus_button,1,2.395,,0,3,3,7,1,1.1,images/target_plus.jpg,0,001,2022-03-11_11h54.24.532,choiceRTT,2021.2.3,Win32,60.0240096,,,,,,,,,,,
,0,0.240277778,-0.256944444,1,0,0,2.512,plus_button,1,1.012,,0,4,4,4,1,1.5,images/target_plus.jpg,0,001,2022-03-11_11h54.24.532,choiceRTT,2021.2.3,Win32,60.0240096,,,,,,,,,,,
,0,0.240277778,-0.256944444,1,0,0,1.83,plus_button,1,0.53,,0,5,5,1,1,1.3,images/target_plus.jpg,0,001,2022-03-11_11h54.24.532,choiceRTT,2021.2.3,Win32,60.0240096,,,,,,,,,,,
,0,-0.194444444,-0.245833333,1,0,0,2.262,cross_button,1,1.162,,0,6,6,0,1,1.1,images/target_cross.jpg,0,001,2022-03-11_11h54.24.532,choiceRTT,2021.2.3,Win32,60.0240096,,,,,,,,,,,
,0,-0.226388889,-0.259722222,1,0,0,2.163,cross_button,1,0.663,,0,7,7,6,1,1.5,images/target_cross.jpg,0,001,2022-03-11_11h54.24.532,choiceRTT,2021.2.3,Win32,60.0240096,,,,,,,,,,,
,0,0.006944444,-0.2625,1,0,0,2.097,square_button,1,0.997,,0,8,8,5,1,1.1,images/target_square.jpg,0,001,2022-03-11_11h54.24.532,choiceRTT,2021.2.3,Win32,60.0240096,,,,,,,,,,,
,0,0.018055556,-0.240277778,1,0,0,2.285,square_button,1,1.185,,,,,,,1.1,images/target_square.jpg,0,001,2022-03-11_11h54.24.532,choiceRTT,2021.2.3,Win32,60.0240096,,-0.0125,-0.248611111,1,0,0,0,0,0,5,1
,0,0.231944444,-0.273611111,1,0,0,2.613,plus_button,1,1.113,,,,,,,1.5,images/target_plus.jpg,0,001,2022-03-11_11h54.24.532,choiceRTT,2021.2.3,Win32,60.0240096,,,,,,,0,1,1,4,1
,0,-0.2,-0.2625,1,0,0,2.596,cross_button,1,1.096,,,,,,,1.5,images/target_cross.jpg,0,001,2022-03-11_11h54.24.532,choiceRTT,2021.2.3,Win32,60.0240096,,,,,,,0,2,2,6,1
,0,-0.240277778,-0.231944444,1,0,0,1.878,cross_button,1,0.778,,,,,,,1.1,images/target_cross.jpg,0,001,2022-03-11_11h54.24.532,choiceRTT,2021.2.3,Win32,60.0240096,,,,,,,0,3,3,0,1
,0,-0.226388889,-0.245833333,1,0,0,1.98,cross_button,1,0.68,,,,,,,1.3,images/target_cross.jpg,0,001,2022-03-11_11h54.24.532,choiceRTT,2021.2.3,Win32,60.0240096,,,,,,,0,4,4,3,1
,0,0.226388889,-0.2625,1,0,0,2.23,plus_button,1,0.93,,,,,,,1.3,images/target_plus.jpg,0,001,2022-03-11_11h54.24.532,choiceRTT,2021.2.3,Win32,60.0240096,,,,,,,0,5,5,1,1
,0,-0.015277778,-0.277777778,1,0,0,2.196,square_button,1,0.896,,,,,,,1.3,images/target_square.jpg,0,001,2022-03-11_11h54.24.532,choiceRTT,2021.2.3,Win32,60.0240096,,,,,,,0,6,6,8,1
,0,0.015277778,-0.270833333,1,0,0,2.198,square_button,1,0.698,,,,,,,1.5,images/target_square.jpg,0,001,2022-03-11_11h54.24.532,choiceRTT,2021.2.3,Win32,60.0240096,,,,,,,0,7,7,2,1
,0,0.251388889,-0.247222222,1,0,0,1.998,plus_button,1,0.898,,,,,,,1.1,images/target_plus.jpg,0,001,2022-03-11_11h54.24.532,choiceRTT,2021.2.3,Win32,60.0240096,,,,,,,0,8,8,7,1
,0,-0.0625,-0.25,1,0,0,2.23,square_button,1,0.93,,,,,,,1.3,images/target_square.jpg,0,001,2022-03-11_11h54.24.532,choiceRTT,2021.2.3,Win32,60.0240096,,,,,,,1,0,9,8,1
,0,0.276388889,-0.252777778,1,0,0,3.012,plus_button,1,1.512,,,,,,,1.5,images/target_plus.jpg,0,001,2022-03-11_11h54.24.532,choiceRTT,2021.2.3,Win32,60.0240096,,,,,,,1,1,10,4,1
,0,-0.204166667,-0.261111111,1,0,0,2.146,cross_button,1,0.846,,,,,,,1.3,images/target_cross.jpg,0,001,2022-03-11_11h54.24.532,choiceRTT,2021.2.3,Win32,60.0240096,,,,,,,1,2,11,3,1
,0,0.026388889,-0.279166667,1,0,0,2.496,square_button,1,0.996,,,,,,,1.5,images/target_square.jpg,0,001,2022-03-11_11h54.24.532,choiceRTT,2021.2.3,Win32,60.0240096,,,,,,,1,3,12,2,1
,0,0.259722222,-0.230555556,1,0,0,2.33,plus_button,1,1.23,,,,,,,1.1,images/target_plus.jpg,0,001,2022-03-11_11h54.24.532,choiceRTT,2021.2.3,Win32,60.0240096,,,,,,,1,4,13,7,1
,0,0.290277778,-0.252777778,1,0,0,2.363,plus_button,1,1.063,,,,,,,1.3,images/target_plus.jpg,0,001,2022-03-11_11h54.24.532,choiceRTT,2021.2.3,Win32,60.0240096,,,,,,,1,5,14,1,1
,0,-0.019444444,-0.248611111,1,0,0,1.881,square_button,1,0.781,,,,,,,1.1,images/target_square.jpg,0,001,2022-03-11_11h54.24.532,choiceRTT,2021.2.3,Win32,60.0240096,,,,,,,1,6,15,5,1
,0,-0.175,-0.25,1,0,0,1.997,cross_button,1,0.897,,,,,,,1.1,images/target_cross.jpg,0,001,2022-03-11_11h54.24.532,choiceRTT,2021.2.3,Win32,60.0240096,,,,,,,1,7,16,0,1
