response.keys,response.corr,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.clicked_name,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,practiceTrials.ran,practiceTrials.order,isi,xPos,corrAns,participant,session,date,expName,psychopyVersion,frameRate,mainTrials.thisRepN,mainTrials.thisTrialN,mainTrials.thisN,mainTrials.thisIndex,mainTrials.ran,mainTrials.order
,0,0.361389974,-0.021563721,1,0,0,targImage,1,0,8,7,1,7,1,0.375,n,CFH0827,001,2022-01-20_12h53.05.438,choiceRTT,3.1.3,60,,,,,,
,0,0.399629991,-0.003452759,1,0,0,targImage,1,0,8,3,1,7,1,0.375,n,CFH0827,001,2022-01-20_12h53.05.438,choiceRTT,3.1.3,60,,,,,,
,0,0.114870605,-0.039342923,1,0,0,targImage,1,0,8,2,1,7,1,0.125,b,CFH0827,001,2022-01-20_12h53.05.438,choiceRTT,3.1.3,60,,,,,,
,0,-0.350514967,-0.034206746,1,0,0,targImage,1,0,8,4,1,7,1,-0.375,c,CFH0827,001,2022-01-20_12h53.05.438,choiceRTT,3.1.3,60,,,,,,
,0,-0.394566243,-0.033320855,1,0,0,targImage,1,0,8,0,1,7,1,-0.375,c,CFH0827,001,2022-01-20_12h53.05.438,choiceRTT,3.1.3,60,,,,,,
,0,-0.145944689,-0.011844923,1,0,0,targImage,1,0,8,5,1,7,1,-0.125,v,CFH0827,001,2022-01-20_12h53.05.438,choiceRTT,3.1.3,60,,,,,,
,0,0.130021023,-0.018849284,1,0,0,targImage,1,0,8,6,1,7,1,0.125,b,CFH0827,001,2022-01-20_12h53.05.438,choiceRTT,3.1.3,60,,,,,,
,0,-0.169683702,-0.000596924,1,0,0,targImage,1,0,8,1,1,7,1,-0.125,v,CFH0827,001,2022-01-20_12h53.05.438,choiceRTT,3.1.3,60,,,,,,
,0,-0.36580858,0.006659037,1,0,0,targImage,,,,,,,1.6666,-0.375,c,CFH0827,001,2022-01-20_12h53.05.438,choiceRTT,3.1.3,60,1,0,40,12,1,39
,0,0.104957682,0.00575002,1,0,0,targImage,,,,,,,1,0.125,b,CFH0827,001,2022-01-20_12h53.05.438,choiceRTT,3.1.3,60,1,0,40,2,1,39
