response.keys,response.corr,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.clicked_name,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,practiceTrials.ran,practiceTrials.order,isi,xPos,corrAns,participant,session,date,expName,psychopyVersion,frameRate,mainTrials.thisRepN,mainTrials.thisTrialN,mainTrials.thisN,mainTrials.thisIndex,mainTrials.ran,mainTrials.order
,0,-0.375,-0.01,1,0,0,targImage,1,0,8,0,1,7,1,-0.375,c,a,001,2022-01-20_22h45.56.195,choiceRTT,3.1.3,60,,,,,,
,0,0.36375,-0.0075,1,0,0,targImage,1,0,8,3,1,7,1,0.375,n,a,001,2022-01-20_22h45.56.195,choiceRTT,3.1.3,60,,,,,,
,0,-0.12,-0.00875,1,0,0,targImage,1,0,8,5,1,7,1,-0.125,v,a,001,2022-01-20_22h45.56.195,choiceRTT,3.1.3,60,,,,,,
,0,0.16125,-0.04,1,0,0,targImage,1,0,8,6,1,7,1,0.125,b,a,001,2022-01-20_22h45.56.195,choiceRTT,3.1.3,60,,,,,,
,0,-0.41375,0.01,1,0,0,targImage,1,0,8,4,1,7,1,-0.375,c,a,001,2022-01-20_22h45.56.195,choiceRTT,3.1.3,60,,,,,,
,0,0.1675,-0.00125,1,0,0,targImage,1,0,8,2,1,7,1,0.125,b,a,001,2022-01-20_22h45.56.195,choiceRTT,3.1.3,60,,,,,,
,0,0.36125,-0.01875,1,0,0,targImage,1,0,8,7,1,7,1,0.375,n,a,001,2022-01-20_22h45.56.195,choiceRTT,3.1.3,60,,,,,,
,0,-0.1075,-0.025,1,0,0,targImage,1,0,8,1,1,7,1,-0.125,v,a,001,2022-01-20_22h45.56.195,choiceRTT,3.1.3,60,,,,,,
,0,0.08375,-0.01625,1,0,0,targImage,,,,,,,2.111,0.125,b,a,001,2022-01-20_22h45.56.195,choiceRTT,3.1.3,60,1,0,40,22,1,39
,0,0.42625,-0.035,1,0,0,targImage,,,,,,,2.7776,0.375,n,a,001,2022-01-20_22h45.56.195,choiceRTT,3.1.3,60,1,0,40,35,1,39
,0,-0.1475,-0.0125,1,0,0,targImage,,,,,,,2.7776,-0.125,v,a,001,2022-01-20_22h45.56.195,choiceRTT,3.1.3,60,1,0,40,33,1,39
,0,0.36875,-0.0175,1,0,0,targImage,,,,,,,1.6666,0.375,n,a,001,2022-01-20_22h45.56.195,choiceRTT,3.1.3,60,1,0,40,15,1,39
,0,-0.32875,-0.00625,1,0,0,targImage,,,,,,,1.4444,-0.375,c,a,001,2022-01-20_22h45.56.195,choiceRTT,3.1.3,60,1,0,40,8,1,39
,0,0.1725,-0.03625,1,0,0,targImage,,,,,,,2.7776,0.125,b,a,001,2022-01-20_22h45.56.195,choiceRTT,3.1.3,60,1,0,40,34,1,39
,0,-0.3425,-0.035,1,0,0,targImage,,,,,,,2.9998,-0.375,c,a,001,2022-01-20_22h45.56.195,choiceRTT,3.1.3,60,1,0,40,36,1,39
,0,0.3275,-0.035,1,0,0,targImage,,,,,,,1,0.375,n,a,001,2022-01-20_22h45.56.195,choiceRTT,3.1.3,60,1,0,40,3,1,39
,0,-0.12125,0,1,0,0,targImage,,,,,,,1.6666,-0.125,v,a,001,2022-01-20_22h45.56.195,choiceRTT,3.1.3,60,1,0,40,13,1,39
,0,-0.3375,0.00625,1,0,0,targImage,,,,,,,1.6666,-0.375,c,a,001,2022-01-20_22h45.56.195,choiceRTT,3.1.3,60,1,0,40,12,1,39
,0,-0.32,-0.02625,1,0,0,targImage,,,,,,,2.5554,-0.375,c,a,001,2022-01-20_22h45.56.195,choiceRTT,3.1.3,60,1,0,40,28,1,39
,0,-0.15375,-0.02,1,0,0,targImage,,,,,,,1,-0.125,v,a,001,2022-01-20_22h45.56.195,choiceRTT,3.1.3,60,1,0,40,1,1,39
,0,-0.32125,-0.0075,1,0,0,targImage,,,,,,,2.7776,-0.375,c,a,001,2022-01-20_22h45.56.195,choiceRTT,3.1.3,60,1,0,40,32,1,39
,0,0.105,-0.0325,1,0,0,targImage,,,,,,,2.5554,0.125,b,a,001,2022-01-20_22h45.56.195,choiceRTT,3.1.3,60,1,0,40,30,1,39
,0,-0.06625,-0.04625,1,0,0,targImage,,,,,,,1.8888,-0.125,v,a,001,2022-01-20_22h45.56.195,choiceRTT,3.1.3,60,1,0,40,17,1,39
,0,0.06375,-0.06375,1,0,0,targImage,,,,,,,2.9998,0.125,b,a,001,2022-01-20_22h45.56.195,choiceRTT,3.1.3,60,1,0,40,38,1,39
,0,-0.16375,-0.0275,1,0,0,targImage,,,,,,,2.9998,-0.125,v,a,001,2022-01-20_22h45.56.195,choiceRTT,3.1.3,60,1,0,40,37,1,39
,0,-0.32125,-0.025,1,0,0,targImage,,,,,,,1.2222,-0.375,c,a,001,2022-01-20_22h45.56.195,choiceRTT,3.1.3,60,1,0,40,4,1,39
,0,0.40875,-0.025,1,0,0,targImage,,,,,,,1.8888,0.375,n,a,001,2022-01-20_22h45.56.195,choiceRTT,3.1.3,60,1,0,40,19,1,39
,0,0.39,-0.02875,1,0,0,targImage,,,,,,,2.9998,0.375,n,a,001,2022-01-20_22h45.56.195,choiceRTT,3.1.3,60,1,0,40,39,1,39
,0,-0.045,-0.035,1,0,0,targImage,,,,,,,2.5554,-0.125,v,a,001,2022-01-20_22h45.56.195,choiceRTT,3.1.3,60,1,0,40,29,1,39
,0,0.40125,-0.015,1,0,0,targImage,,,,,,,1.2222,0.375,n,a,001,2022-01-20_22h45.56.195,choiceRTT,3.1.3,60,1,0,40,7,1,39
,0,0.31,-0.0025,1,0,0,targImage,,,,,,,2.5554,0.375,n,a,001,2022-01-20_22h45.56.195,choiceRTT,3.1.3,60,1,0,40,31,1,39
,0,0.12625,-0.00375,1,0,0,targImage,,,,,,,1,0.125,b,a,001,2022-01-20_22h45.56.195,choiceRTT,3.1.3,60,1,0,40,2,1,39
,0,0.34625,-0.025,1,0,0,targImage,,,,,,,2.111,0.375,n,a,001,2022-01-20_22h45.56.195,choiceRTT,3.1.3,60,1,0,40,23,1,39
