keyResp.keys,keyResp.corr,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,correctMouseResp,trialRespTimes,moveOnKeys.keys,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
,0,-0.194444434,-0.250000011,1,0,0,3.6734,cross_button,0,2.1734,,0,0,0,4,1,1.5,images/target_plus.jpg,alina,001,2022-03-19_08h29.12.720,choiceRTT,2021.2.3,Win32,59.98080614,,,,,,,,,,,
,0,-0.049074005,-0.24259266,1,0,0,1.9213,square_button,1,0.8213,,0,1,1,5,1,1.1,images/target_square.jpg,alina,001,2022-03-19_08h29.12.720,choiceRTT,2021.2.3,Win32,59.98080614,,,,,,,,,,,
,0,-0.04259258,-0.24351853,1,0,0,1.9719,square_button,1,0.6719,,0,2,2,8,1,1.3,images/target_square.jpg,alina,001,2022-03-19_08h29.12.720,choiceRTT,2021.2.3,Win32,59.98080614,,,,,,,,,,,
,0,-0.271999989,-0.297066679,1,0,0,2.1783,cross_button,1,1.0783,,0,3,3,0,1,1.1,images/target_cross.jpg,alina,001,2022-03-19_08h29.12.720,choiceRTT,2021.2.3,Win32,59.98080614,,,,,,,,,,,
,0,-0.33599999,-0.260800076,1,0,0,2.4887,cross_button,0,1.1887,,0,4,4,1,1,1.3,images/target_plus.jpg,alina,001,2022-03-19_08h29.12.720,choiceRTT,2021.2.3,Win32,59.98080614,,,,,,,,,,,
,0,-0.236799988,-0.293866678,1,0,0,2.3219,cross_button,1,1.0219,,0,5,5,3,1,1.3,images/target_cross.jpg,alina,001,2022-03-19_08h29.12.720,choiceRTT,2021.2.3,Win32,59.98080614,,,,,,,,,,,
,0,0.273066686,-0.257600011,1,0,0,2.1135,plus_button,1,1.0135,,0,6,6,7,1,1.1,images/target_plus.jpg,alina,001,2022-03-19_08h29.12.720,choiceRTT,2021.2.3,Win32,59.98080614,,,,,,,,,,,
,0,0.033066682,-0.268266678,1,0,0,2.2064,square_button,1,0.7064,,0,7,7,2,1,1.5,images/target_square.jpg,alina,001,2022-03-19_08h29.12.720,choiceRTT,2021.2.3,Win32,59.98080614,,,,,,,,,,,
,0,-0.252799989,-0.322666679,1,0,0,2.3569,cross_button,1,0.8569,,0,8,8,6,1,1.5,images/target_cross.jpg,alina,001,2022-03-19_08h29.12.720,choiceRTT,2021.2.3,Win32,59.98080614,,,,,,,,,,,
,0,-0.308266656,-0.289600012,1,0,0,2.0501,cross_button,1,0.9501,,,,,,,1.1,images/target_cross.jpg,alina,001,2022-03-19_08h29.12.720,choiceRTT,2021.2.3,Win32,59.98080614,,-0.022399985,-0.25013341,1,0,0,0,0,0,0,1
,0,-0.050133319,-0.267200011,1,0,0,2.1649,square_button,1,0.6649,,,,,,,1.5,images/target_square.jpg,alina,001,2022-03-19_08h29.12.720,choiceRTT,2021.2.3,Win32,59.98080614,,,,,,,0,1,1,2,1
,0,0.177066685,-0.275733345,1,0,0,2.0804,plus_button,1,0.7804,,,,,,,1.3,images/target_plus.jpg,alina,001,2022-03-19_08h29.12.720,choiceRTT,2021.2.3,Win32,59.98080614,,,,,,,0,2,2,1,1
,0,0.222933352,-0.275733345,1,0,0,2.3155,plus_button,1,0.8155,,,,,,,1.5,images/target_plus.jpg,alina,001,2022-03-19_08h29.12.720,choiceRTT,2021.2.3,Win32,59.98080614,,,,,,,0,3,3,4,1
,0,0.06933335,-0.280000012,1,0,0,1.9715,square_button,1,0.6715,,,,,,,1.3,images/target_square.jpg,alina,001,2022-03-19_08h29.12.720,choiceRTT,2021.2.3,Win32,59.98080614,,,,,,,0,4,4,8,1
,0,0.081066683,-0.268266678,1,0,0,1.6476,square_button,1,0.5476,,,,,,,1.1,images/target_square.jpg,alina,001,2022-03-19_08h29.12.720,choiceRTT,2021.2.3,Win32,59.98080614,,,,,,,0,5,5,5,1
,0,0.202666685,-0.280000012,1,0,0,1.8918,plus_button,1,0.7918,,,,,,,1.1,images/target_plus.jpg,alina,001,2022-03-19_08h29.12.720,choiceRTT,2021.2.3,Win32,59.98080614,,,,,,,0,6,6,7,1
,0,-0.251733322,-0.239466743,1,0,0,2.0991,cross_button,1,0.7991,,,,,,,1.3,images/target_cross.jpg,alina,001,2022-03-19_08h29.12.720,choiceRTT,2021.2.3,Win32,59.98080614,,,,,,,0,7,7,3,1
,0,-0.213333321,-0.253333345,1,0,0,2.1983,cross_button,1,0.6983,,,,,,,1.5,images/target_cross.jpg,alina,001,2022-03-19_08h29.12.720,choiceRTT,2021.2.3,Win32,59.98080614,,,,,,,0,8,8,6,1
,0,-0.01919992,-0.309866679,1,0,0,2.1824,square_button,1,0.6824,,,,,,,1.5,images/target_square.jpg,alina,001,2022-03-19_08h29.12.720,choiceRTT,2021.2.3,Win32,59.98080614,,,,,,,1,0,9,2,1
,0,-0.020266652,-0.280000012,1,0,0,1.9046,square_button,1,0.6046,,,,,,,1.3,images/target_square.jpg,alina,001,2022-03-19_08h29.12.720,choiceRTT,2021.2.3,Win32,59.98080614,,,,,,,1,1,10,8,1
,0,-0.180266654,-0.310933345,1,0,0,2.6155,cross_button,1,1.1155,,,,,,,1.5,images/target_cross.jpg,alina,001,2022-03-19_08h29.12.720,choiceRTT,2021.2.3,Win32,59.98080614,,,,,,,1,2,11,6,1
,0,-0.225066655,-0.255466743,1,0,0,1.8651,cross_button,1,0.7651,,,,,,,1.1,images/target_cross.jpg,alina,001,2022-03-19_08h29.12.720,choiceRTT,2021.2.3,Win32,59.98080614,,,,,,,1,3,12,0,1
,0,0.199466685,-0.29813341,1,0,0,2.0654,plus_button,1,0.9654,,,,,,,1.1,images/target_plus.jpg,alina,001,2022-03-19_08h29.12.720,choiceRTT,2021.2.3,Win32,59.98080614,,,,,,,1,4,13,7,1
,0,0.014933349,-0.262933345,1,0,0,1.7166,square_button,1,0.6166,,,,,,,1.1,images/target_square.jpg,alina,001,2022-03-19_08h29.12.720,choiceRTT,2021.2.3,Win32,59.98080614,,,,,,,1,5,14,5,1
,0,0.279466686,-0.294933345,1,0,0,2.3148,plus_button,1,1.0148,,,,,,,1.3,images/target_plus.jpg,alina,001,2022-03-19_08h29.12.720,choiceRTT,2021.2.3,Win32,59.98080614,,,,,,,1,6,15,1,1
,0,-0.206933321,-0.307733345,1,0,0,2.2059,cross_button,1,0.9059,,,,,,,1.3,images/target_cross.jpg,alina,001,2022-03-19_08h29.12.720,choiceRTT,2021.2.3,Win32,59.98080614,,,,,,,1,7,16,3,1
,0,0.328533353,-0.308800077,1,0,0,2.4215,plus_button,1,0.9215,,,,,,,1.5,images/target_plus.jpg,alina,001,2022-03-19_08h29.12.720,choiceRTT,2021.2.3,Win32,59.98080614,,,,,,,1,8,17,4,1
